Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-XF-A8HB-01A-11R-A36F-07	0	0	0.00977410066293007	0.0161504598859299	0	0.24317375125379	0	0.0958888745187365	0	0	0	0.0403186298476859	0.0103808113838382	0	0.00527067580286621	0.222644825902785	0.0490018034492982	0.171119975981229	0.136276091310911	0	0	0	0.61	0.00565454614028216	1.08325693290794
TCGA-XF-AAN3-01A-11R-A42T-07	0	0.00541189813555229	0.00819457148220395	0.0268507600020415	0	0.141693303977962	0	0.0397767454574678	0.0607622960080592	0	0	0.0204492643344039	0.0159816185408325	0.0412736910072245	0.0244328746276244	0.199737460574858	0.232092991908112	0.0801391986262048	0.08683914461908	0	0.0116796151216125	0.00468456557676141	0.04	0.177698769675979	1.01245118466672
TCGA-GC-A3OO-01A-11R-A22U-07	0.0118816795776147	0	0.00705252582056262	0.0178492913718865	0	0.0157994724352637	0	0.0470209017895518	0.0130017663065301	0.0181896979344575	0	0.0502018302258537	0	0.396335019523509	0.0404516115358769	0.264836707743692	0	0	0.117379495735201	0	0	0	0	0.508994043293973	0.862933928627686
TCGA-BL-A13J-01A-11R-A10U-07	0	0	0.0965624096242134	0.00482302657522357	0	0.0758577961302702	0.0301926025413002	0.0384541056484242	0.0751691657933783	0.0133305496032189	0	0	0	0.275045928272163	0.113837815449104	0.192229369957545	0	0.051303361676876	0.0270584008066068	0	0	0.00613546792167657	0.76	-0.00719085612997481	1.11632928093766
TCGA-DK-A3X2-01A-11R-A22U-07	0	0	0.110602932974856	0.0557868890675651	0	0.0839833134748269	0	0.0118827153394705	0.0234809987174722	0	0	0.0358320443586969	0	0.294722759361751	0	0.290007283345468	0	0.0721636849415512	0.0170093009726876	0	0	0.00452807744565402	0.76	-0.00731992050536718	1.12437917176849
TCGA-YC-A8S6-01A-31R-A38B-07	0.00388954647477287	0	0	0.0301336039695261	0	0.153596438817522	0.0268292052270482	0	0.161710327509789	0	0	0	0.0772512728356432	0	0.00624876487957067	0.120531410940759	0.041393152819762	0.20292616157876	0.0268356117539797	0.0815490261156659	0.0194038480124929	0.0477016290647088	0.01	0.248800070262793	0.98502185562052
TCGA-K4-A6FZ-01A-11R-A31N-07	0	0	0.0125137773198249	0	0	0.234577673575259	0	0	0.0219381484096259	0.0330320203996147	0	0.0112662334055024	0	0.170579779063049	0.0971763551666379	0.136110917603174	0	0.0392563572138971	0	0.221940555873205	0.00432485600616484	0.0172833259640453	0.02	0.187884845099759	1.03669210582853
TCGA-FD-A3B8-01A-31R-A20F-07	0.0440256573452	0	0.00566752370057709	0.12887089141929	0	0.196307439137117	0.0948007603767443	0	0.00474796676628726	0	0.0220056482649276	0	0.0100069757388335	0.134813866917307	0.162251653006679	0.140926959467361	0	0.00413113300431939	0.0387122122577268	0	0	0.0127313125976302	0	0.527720770864218	0.850297778958945
TCGA-HQ-A2OE-01A-11R-A206-07	0.0898410007901188	0	0.140052343035095	0.0979243512664844	0.0030985899774358	0.0336065965105324	0.0454195071181939	0.0195389075242519	0.0662733888297072	0.00959284402610948	0.0302177289492538	0	0.0102317068658887	0	0.0224532904829403	0.127104689314928	0.127734389101988	0.111835562220995	0	0.0463751974987951	0.00827292976701692	0.0104269767202654	0.63	0.00418089256283309	1.06127824463571
TCGA-K4-A5RH-01A-11R-A30C-07	0.00450782188727434	0	0.0150114442435126	0.416499154915694	0	0	0.14778979152468	0.0202316920265183	0	0.057554646406936	0	0.015989605728045	0.000412159190322152	0.00392278592679233	0.068499963968089	0.211540743847961	0.00175408429415731	0	0.0362861060400176	0	0	0	0	0.382216652452593	0.931485080152517
TCGA-ZF-A9RC-01A-11R-A38B-07	0	0	0.0461459791762254	0.0722394184344679	0	0.0383599384844452	0	0.0838233420081195	0.0452561903975828	0	0	0	0	0.363340512470311	0.0388132786121349	0.143485774514588	0	0	0.0919633661558823	0.0765721997462435	0	0	0.19	0.0874110194446484	1.08612382696722
TCGA-4Z-AA7R-01A-11R-A39I-07	0.0304536239650727	0	0.200573833451583	0.0112858010631935	0	0.107039105707749	0	0.00987850816440057	0.0357696664446029	0	0.0861699077160312	0	0	0.0121331408833387	0	0.216743429920361	0	0.0240619178473476	0	0.236178626136204	0	0.0297124387001152	0.86	-0.0215188369966184	1.1014769746046
TCGA-XF-A8HG-01A-11R-A36F-07	0.0342510515985121	0	0.0077447427929974	0.00802572277956448	0.130879948293782	0	0	0	0.0265720823323168	0	0.0473461071004797	0	0.153089769227471	0	0.0185292765083211	0.475487629023159	0.0589690173961185	0	0	0.016370364363741	0.0227342885835376	0	0.54	0.0140164317932032	1.10707304144498
