"gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster"
"MTFR2",3.2820163109786e-15,0.581574181446902,0.64,0.169,3.44546072326533e-11,"0"
"MSI1",3.31856174116124e-15,0.324899743540918,0.52,0.096,3.48382611587107e-11,"0"
"GLTP",3.52038929941627e-15,0.430769909026238,0.987,0.612,3.69570468652720e-11,"0"
"KLF4",4.42217183495535e-15,-0.707882438867659,0.187,0.708,4.64239599233613e-11,"0"
"NOCT",5.61074951732698e-15,0.411535455660868,0.827,0.347,5.89016484328987e-11,"0"
"IGSF3",5.8534683298702e-15,0.38876321708088,0.733,0.21,6.14497105269773e-11,"0"
"IRF1",5.87038193185362e-15,-0.742222558295516,0.173,0.671,6.16272695205993e-11,"0"
"CAP1",6.05957875030573e-15,0.290460873855646,0.987,0.868,6.36134577207096e-11,"0"
"TBC1D9",6.09756048013216e-15,0.455869222755197,0.92,0.379,6.40121899204274e-11,"0"
"HK2",6.50688813235179e-15,0.379368517761165,1,0.712,6.83093116134291e-11,"0"
"TMEM141",6.64045358286819e-15,0.468754279606566,0.96,0.516,6.97114817129503e-11,"0"
"PPA2",7.55474548162969e-15,0.452668478009593,0.973,0.612,7.93097180661485e-11,"0"
"GFUS",7.93138521528174e-15,0.495279129290168,0.96,0.511,8.32636819900277e-11,"0"
"ANKRD12",8.56744542508592e-15,-0.565287380724898,0.573,0.9,8.9941042072552e-11,"0"
"PAFAH1B3",8.93556612330584e-15,0.470122022894797,0.96,0.553,9.38055731624647e-11,"0"
"SPINK8",9.32683465321074e-15,0.512553809457539,0.44,0.059,9.79131101894063e-11,"0"
"GSTA4",9.71910029341317e-15,0.578644131482129,0.787,0.297,1.02031114880251e-10,"0"
"STRN3",1.24735249168599e-14,-0.542376987015669,0.547,0.877,1.30947064577195e-10,"0"
"PTPRS",1.28365671683841e-14,0.318451983743039,1,0.863,1.34758282133696e-10,"0"
"QKI",1.31786973149415e-14,-0.690971992807941,0.32,0.795,1.38349964412255e-10,"0"
"LETM1",1.53763346001994e-14,0.384193444600646,0.96,0.648,1.61420760632893e-10,"0"
"ACADSB",1.72306031327267e-14,0.59526934274395,0.827,0.393,1.80886871687364e-10,"0"
"PMAIP1",1.72955235123517e-14,-0.944586180523494,0.04,0.553,1.81568405832668e-10,"0"
"RBPMS",1.98600456334681e-14,0.494044784291792,0.8,0.306,2.08490759060148e-10,"0"
"RAD23B",2.04334028353302e-14,0.335061054659906,1,0.721,2.14509862965297e-10,"0"
"WASF3",2.07369448488023e-14,0.502249419834307,0.627,0.183,2.17696447022727e-10,"0"
"CAMK2D",2.14162911109554e-14,0.55358285584154,0.813,0.374,2.2482822408281e-10,"0"
"HLA-E",2.62395511178225e-14,-0.599494897384239,0.507,0.849,2.754628076349e-10,"0"
"STARD3",2.71919679632378e-14,0.489659543607528,0.64,0.187,2.8546127967807e-10,"0"
"PXMP4",2.79373964339866e-14,0.575659948312517,0.627,0.164,2.93286787763992e-10,"0"
