gene_name,Model1_count,Model2_count,Model3_count,Positive1_count,Positive2_count,Positive3_count
Supt6,2396,1776,3178,1358,1757,1197
Sh3d2c-ps1,0,1,0,0,0,0
Uck1,363,247,461,196,220,192
Adgrd2-ps,0,0,0,0,0,0
Ppp1r15b,5355,5576,7951,5622,7141,5201
9130213A22Rik,4,4,1,1,7,2
Col20a1,74,74,88,137,175,155
Clasp1,2436,2247,3091,3124,3283,2800
Lrrc51,6,5,8,3,2,2
2410137M14Rik,0,0,0,0,0,0
Gm12187,0,2,0,0,0,0
Olfr857,0,0,0,1,1,0
Gm28144,0,0,0,0,0,0
AK157302,272,126,245,77,175,90
Olfr809,0,0,0,0,0,0
Olfr316,0,0,0,0,0,0
RP23-82I13.10,14,7,8,15,6,8
RP24-272N4.2,0,0,0,0,0,0
Krtap1-3,0,0,0,0,0,0
Gm11555,0,0,0,0,0,0
RP24-446A8.2,0,0,0,0,0,0
RP23-328I7.6,0,0,0,0,0,0
Olfr705,0,0,0,0,0,0
Trav6n-7,0,0,0,0,0,0
Gm9611,0,0,0,0,0,0
Olfr1027-ps1,0,0,0,0,0,0
Dnajc7,2109,1832,1791,1165,1527,1261
Gm28365,0,0,0,0,0,0
Gm20800,0,0,0,0,0,0
Gm28197,0,0,0,0,0,0
Gm21753,0,0,0,0,0,0
4930533D04Rik,0,0,0,0,0,0
Zfp385c,0,0,0,0,0,0
Gm28787,0,0,0,0,0,0
Gm29283,0,0,0,0,0,0
Gm27217,0,0,0,0,0,0
Sgca,1,2,0,1,1,0
Irx2,0,3,2,1,0,0
Col1a1,5289,1199,1224,305,295,229
Itga3,19,0,15,5,4,2
1700121N20Rik,0,0,0,0,0,0
Map1s,354,263,465,183,219,149
Bend4,234,229,184,183,283,143
Gm21723,0,0,0,0,0,0
Vmn1r186,0,0,0,0,0,0
Gm5796,1,0,0,0,0,0
Gm16172,0,0,0,0,0,0
Olfr675,0,0,0,0,0,0
Amy2a4,0,0,0,0,0,0
Atad5,2412,2599,2912,1888,2141,1609
Gm29571,0,0,0,0,0,0
Gm29306,0,0,0,0,0,0
Zbed4-ps1,0,0,0,0,0,0
Gm29393,0,0,0,0,0,0
Gm29259,0,0,0,0,0,0
Gm29672,0,0,0,0,0,0
Gm29029,0,0,0,0,0,0
Gm28252,0,0,0,0,0,0
Agtrap,975,1150,1647,1204,1772,1127
Disp1,154,115,192,90,79,49
Draxin,16,2,11,15,8,2
Ppp2r2a,1058,827,1194,730,886,803
Nefl,0,0,0,0,0,0
Kif19a,7,7,5,4,3,6
Aldh3a2,878,847,1069,1106,1506,1180
Adamdec1,3,3,0,0,0,0
Gm17552,52,83,84,133,129,92
Gm28342,0,0,0,0,0,0
Gm3454,0,0,0,0,0,0
Jarid2,1575,1510,2153,1322,1406,1222
Pitx1,4,0,1,0,2,1
Gm8600,0,0,0,0,0,0
Gm17250,1,1,0,0,0,0
Gm28152,0,0,0,0,0,0
Gm29314,0,0,0,0,0,0
Gm28811,0,0,0,0,0,0
Gm28600,0,0,0,0,0,0
Gm21317,0,0,0,0,0,0
Gm28166,0,4,0,0,0,0
AC087559.2,1,2,3,3,0,0
Fam205a2,0,0,0,0,0,0
Gm26519,0,0,0,0,0,0
C330021F23Rik,0,0,0,0,0,0
Tacc1,6808,4809,8303,3545,1957,3000
Gm14850,0,0,0,0,0,0
RP24-467O4.4,88,118,85,120,134,113
RP23-191I2.3,0,0,0,0,0,0
RP23-115M13.4,0,0,0,0,0,0
Olrf445-ps1,0,0,0,0,0,0
Gm26520,11,7,0,9,1,4
RP23-480I16.2,0,0,0,0,0,0
RP23-392K24.8,54,51,52,68,64,21
1700030M09Rik,0,0,0,0,0,0
Vmn1r181,0,0,0,0,0,0
Gm6763,0,0,0,0,0,0
Gm17575,0,0,0,0,0,0
D630011A20Rik,0,0,0,0,0,0
Gm26521,3,9,2,4,1,3
Gm26522,0,0,0,0,0,0
Acaa1b,33,14,27,12,14,0
Lmntd1,0,0,0,0,0,0
Zfp647,20,16,18,11,8,3
Sntb2,451,470,604,636,793,549
Nkx6-2,0,0,0,0,0,0
Gtf3c3,1225,1052,884,637,575,496
Cftr,1,1,5,0,1,0
Rnf17,15,7,5,25,0,12
Tnfsf11,57,24,37,17,6,1
Epsti1,657,466,313,279,252,240
Gm14711,0,0,0,0,0,0
Akap11,2594,1844,2069,2025,2161,2023
Tsc22d1,939,407,410,335,218,207
Dnajc15,387,284,319,139,170,109
Enox1,4,4,0,1,6,5
Tdrd3,932,846,761,843,777,673
Rgcc,691,589,1028,564,713,561
Olfr307,0,0,0,0,0,0
Cdca7,2034,1278,2197,1330,1615,1143
Prpsap2,405,336,293,257,249,220
Myo19,178,114,201,145,151,100
Znhit3,169,151,139,87,89,63
Ppm1d,590,489,725,320,449,328
Gria1,0,0,0,0,0,0
Fam114a2,554,512,620,453,417,295
Mfap3,1552,1053,1385,812,795,642
Rnft1,829,699,772,599,714,531
Galnt10,283,145,135,168,226,144
Olfr907,0,0,0,0,0,0
Cyp2a22,0,0,0,0,0,0
Gm17102,0,0,0,0,0,1
Gm20777,0,0,0,0,0,0
Gm21973,0,0,0,0,0,0
