,TCGA-DD-A11D-01A-11R-A131-07,TCGA-DD-AACT-01A-11R-A41C-07,TCGA-G3-AAUZ-01A-11R-A38B-07,TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000023330,6696,2043,14700,16991
ENSG00000023445,632,1677,1208,352
ENSG00000023516,696,449,192,1130
ENSG00000023572,323,459,346,294
ENSG00000023608,98,79,121,126
ENSG00000023697,1028,776,1802,3221
ENSG00000023734,2295,1238,2219,3357
ENSG00000023839,3413,3154,2488,8500
ENSG00000023892,38,139,288,138
ENSG00000023902,220,424,1296,583
ENSG00000023909,1765,638,2302,2739
ENSG00000024048,1128,854,782,2019
ENSG00000024422,955,1819,834,821
ENSG00000024526,39,72,142,1
ENSG00000024862,592,1212,949,1470
ENSG00000025039,741,423,876,1033
ENSG00000025156,107,165,138,170
ENSG00000025293,478,429,607,772
ENSG00000025423,13197,8720,17472,47998
ENSG00000025434,1771,1304,2988,3852
ENSG00000025708,9001,2949,10046,1376
ENSG00000025770,1231,714,2106,877
ENSG00000025772,573,976,528,752
ENSG00000025796,3411,2262,1859,5182
ENSG00000025800,1478,811,1155,1761
ENSG00000026025,3795,3669,8503,5388
ENSG00000026036,38,26,18,8
ENSG00000026103,444,244,694,1026
ENSG00000026297,548,1048,1423,1127
ENSG00000026508,368,4496,643,842
ENSG00000026559,0,15,5,8
ENSG00000026652,329,30,312,57
ENSG00000026751,27,106,183,214
ENSG00000026950,787,1666,357,584
ENSG00000027001,398,173,95,818
ENSG00000027075,254,171,199,377
ENSG00000027644,6,6,1,2
ENSG00000027697,1150,3678,1348,2150
ENSG00000027847,1026,1963,1294,876
ENSG00000027869,17,107,116,28
ENSG00000028116,121,79,84,287
ENSG00000028137,1509,953,4196,1752
ENSG00000028203,475,446,849,1138
ENSG00000028277,23,52,114,114
ENSG00000028310,565,577,762,494
ENSG00000028528,1200,1358,1835,3552
ENSG00000028839,191,295,357,377
ENSG00000029153,337,182,455,74
ENSG00000029363,1352,1123,1166,1944
ENSG00000029364,3750,2045,2837,4246
ENSG00000029534,1,6,3,10
ENSG00000029559,13,0,3,0
ENSG00000029639,220,201,251,467
ENSG00000029725,527,920,545,1908
ENSG00000029993,927,550,5658,1261
ENSG00000030066,559,323,497,1048
ENSG00000030110,167,344,401,246
ENSG00000030304,1,1,0,4
ENSG00000030419,163,74,41,95
ENSG00000030582,9231,5654,17619,9603
ENSG00000031003,268,117,173,381
ENSG00000031081,152,158,193,308
ENSG00000031691,44,109,203,157
ENSG00000031698,3781,1887,5518,6733
ENSG00000031823,866,1115,1532,1123
ENSG00000032219,351,276,362,929
ENSG00000032389,321,341,484,628
ENSG00000032444,1385,1342,2257,2194
ENSG00000032742,417,245,311,553
ENSG00000033011,866,950,603,902
ENSG00000033030,198,303,243,564
